시군명,시설명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
파주시,호수캠핑장,경기도 파주시 광탄면 기산리 387-11,031-942-7718,2021/03/05,37.77528221,126.9335525
안산시,해솔길 캠핑장,경기도 안산시 단원구 대부북동 1865-211,010-3305-4077,2021/03/05,37.26784071,126.5605481
연천군,한탄강관광지 오토캠핑장,경기도 연천군 전곡읍 전곡리 640,031-833-0030,2021/03/05,38.00875654,127.0598713
파주시,학교안 풍경캠핑장,경기도 파주시 법원읍 웅담리 43-1,,2021/03/05,37.91505461,126.9087184
가평군,가평설악 하늘계곡 캠핑장,경기도 가평군 설악면 봉미산안길 190-27,031-584-6423,2021/03/05,37.61627475,127.5391036
포천시,포천자연마을 서울캠핑장,경기도 포천시 관인면 사정리 136-1 (구) 사정분교,,2021/03/05,38.12375565,127.2525946
가평군,포시즌 레저타운 캠핑장,경기도 가평군 상면 태봉리 535,,2021/03/05,37.82717516,127.3202051
여주시,팜스퀘어 하늘타리,경기도 여주시 금사면 도곡리 241-1,,2021/03/05,37.38406214,127.500418
파주시,파주힐링캠프,경기도 파주시 광탄면 보광로 877,031-942-7719,2021/03/05,37.7728498,126.8828624
가평군,별빛오토캠핑장,경기도 가평군 설악면 묵안로 219-15,010-7238-8804,2021/03/05,37.64762104,127.5005215
안성시,별밤락 캠핑장,경기도 안성시 삼죽면 개나리길 138-20,010-8583-3451,2021/03/05,37.04845463,127.374246
가평군,별드림캠핑장,경기도 가평군 가평읍 당목가일길 515,010-5028-6019,2021/03/05,37.87267299,127.5657882
가평군,가평 별다리글램핑,경기도 가평군 북면 꽃넘이길 23-7,010-5271-3591,2021/03/05,37.89473384,127.5287639
동두천시,벨라,경기도 동두천시 탑동동 322-6,,2021/03/05,37.89848843,127.1178729
평택시,백운산캠핑체험농장,경기도 평택시 월곡길 124-272,031-653-3454,2021/03/05,37.02477063,127.1484887
파주시,밤골캠핑장,경기도 파주시 파평면 장승배기로268번길 141,010-5343-8155,2021/03/05,37.88754037,126.8221902
파주시,박석 캠핑장,경기도 파주시 탄현면 낙하리 252,,2021/03/05,37.83482483,126.7397255
연천군,물새롬랜드 오토캠핑장,경기도 연천군 미산면 우정리 임진물새롬랜드,,2021/03/05,,
양평군,와이글램핑,경기도 양평군 용문면 강이대길38번길 26-37,031-772-5772,2021/03/05,37.52686252,127.6261001
파주시,명학산 캠핑장,경기도 파주시 파주읍 향양리 4-1 명학산 캠프(캠핑장),,2021/03/05,37.85096494,126.8311993
동두천시,온세미로,경기도 동두천시 천보산로 537,,2021/03/05,37.87970998,127.0976381
여주시,오름새관광농원,경기도 여주시 산북면 송현리 99,031-885-2820,2021/03/05,37.38081787,127.4549902
연천군,로하스 캠핑장,경기도 연천군 중면 삼곶리 185,,2021/03/05,38.13244802,127.0252365
여주시,여주산촌오토캠핑장,경기도 여주시 금사면 금품1로 552,010-2666-9763,2021/03/05,37.40378408,127.4913224
동두천시,에코유 캠핑장,경기도 동두천시 탑동동 495-3,,2021/03/05,37.86389211,127.1056368
가평군,가평 둥지글램핑,경기도 가평군 설악면 묵안로 976-62,010-5205-2036,2021/03/05,37.60111635,127.5313581
김포시,동막골캠핑장,경기도 김포시 월곶면 문수산로 252번길 19,010-5251-8066,2021/03/05,37.75115055,126.536702
포천시,도리돌 캠핑장,경기도 포천시 이동면 도평리 110-5,031-536-9003,2021/03/05,38.06134102,127.3868157
김포시,덕포진누리마을캠핑장,경기도 김포시 대곶면 신안리 228-2,031-988-5952,2021/03/05,37.65095301,126.5378504
양평군,양평베이스캠프,경기도 양평군 경강로 2277-21,,2021/03/05,37.49422419,127.5311889
양평군,양평꿈의마을오토캠핑장,경기도 양평군 청운면 황정2길 98-9,010-2520-0108,2021/03/05,37.55791685,127.7221875
양평군,양평 휴 캠핑 워크샵,경기도 양평군 청운면 갈운리 514-5,,2021/03/05,37.54038683,127.7691796
양평군,양평 파인힐 야영장,경기도 양평군 지평면 옥현리 1504-5,,2021/03/05,37.44847537,127.6113044
양평군,양평 스파앤캠핑,경기도 양평군 단월면 고북길 228,,2021/03/05,37.59266121,127.5864628
양주시,양주산막골캠핑장,경기도 양주시 백석읍 기산로 414-20,031-871-0058,2021/03/05,37.7748463,126.9378158
양주시,양주미술관옆 캠핑장,경기도 양주시 장흥면 석현리 394,031-828-9881,2021/03/05,37.73106195,126.9496202
양주시,양주 감악산 캠핑장,경기도 양주시 남면 감악산로 632-32,,2021/03/05,37.91418579,126.9565862
포천시,닥박골 휴양림,경기도 포천시 신북면 깊이울로1길 48-17,010-5379-3811,2021/03/05,37.92969754,127.1770982
연천군,다솔관광농원,경기도 연천군 청정로918번길 123 다솔관광농원,,2021/03/05,38.03680606,126.9567184
파주시,느티나무그늘아래 캠핑장,경기도 파주시 문산읍 사목리 산87-2,,2021/03/05,37.87302655,126.7545917
안성시,안성맞춤 자동차야영장,경기도 안성시 보개면 복평리 34-3,031-677-8267,2021/03/05,37.03129457,127.3091402
포천시,아이에프에이 캠프운악,경기도 포천시 화현면 금강로 3806-80,010-2923-8141,2021/03/05,37.89466733,127.3058183
남양주시,남양주 휴림캠핑장,경기도 남양주시 수동면 지둔로 344,010-7979-1569,2021/03/05,37.71377193,127.2999944
포천시,깊이울달빛캠핑장,경기도 포천시 신북면 심곡리 734-2,010-2436-6512,2021/03/05,37.92170769,127.1690435
양평군,스톤힐,경기도 양평군 양평읍 양근골안길17번길 2-24,010-2705-8512,2021/03/05,37.50057323,127.4871026
김포시,김포예당캠핑장,경기도 김포시 월곶면 문수산로 104-107,,2021/03/05,37.74053999,126.5353186
김포시,김포 황토테마파크,경기도 김포시 하성면 전류리 114번지,031-984-7428,2021/03/05,37.70084916,126.6554141
양평군,글램핑코리아 양평점,경기도 양평군 양평읍 충신로189번길 41-36 글램핑코리아(주),070-4809-9099,2021/03/05,37.4568751,127.5100293
양평군,글램핑앤카라반,경기도 양평군 단월면 단월로 600,031-773-3709,2021/03/05,37.58602433,127.67769
양평군,글램퍼스 양평점,경기도 양평군 단월면 대부록길 38-3,010-7711-8888,2021/03/05,37.57933881,127.6819551
포천시,국망봉자연휴양림,경기도 포천시 이동면 늠바위길 207-28,031-532-0014,2021/03/05,38.02892159,127.3962659
포천시,이야기오토캠핑,경기도 포천시 소흘읍 직동리 75-1,010-5694-7994,2021/03/05,37.76623591,127.1712475
연천군,관광농원 숲속의 보물나라,경기도 연천군 신서면 내산리 150-1,,2021/03/05,38.15452202,127.1429066
파주시,공릉관광지 캠핑장,경기도 파주시 조리읍 장곡로 218 420-7,,2021/03/05,37.75016895,126.8357387
가평군,솔밭펜션캠핑장,경기도 가평군 조종면 운악청계로371번길 58-34,031-584-3944,2021/03/05,37.85320954,127.350714
가평군,소풍캠핑장,경기도 가평군 설악면 가일리 108,010-5273-6445,2021/03/05,37.59490084,127.50847
김포시,솔내음캠핑장,경기도 김포시 통진읍 절골로127번길 32-90,031-997-3775,2021/03/05,37.68954964,126.5811201
가평군,가평뜰캠핑장(구 가평뜰),경기도 가평군 설악면 뇌암길 49,010-6248-7779,2021/03/05,37.6312432,127.490276
여주시,파인 관광농원,경기도 여주시 가남읍 신해리 649-10,,2021/03/05,37.21488363,127.5317723
포천시,캠핑라운지,경기도 포천시 이동면 성장로1289번길 155-76,010-4761-1145,2021/03/05,38.04742523,127.3694222
포천시,캠프오후4시,경기도 포천시 군내면 청군로2864번길 22,010-8945-8306,2021/03/05,37.86934577,127.2510828
양주시,캠프리카캠핑장,경기도 양주시 백석읍 기산로440번길 127,010-9633-5744,2021/03/05,37.77127162,126.9385582
파주시,캠프 예그리나,경기도 파주시 광탄면 쇠장이길 56,010-3160-1973,2021/03/05,37.77700576,126.9094222
파주시,청풍명월 캠핑장,경기도 파주시 탄현면 문지리 264-2,031-947-1021,2021/03/05,37.83213289,126.7258742
양평군,천사봉오토캠핑장,경기도 양평군 단월면 고북길 11,010-3788-6871,2021/03/05,,
파주시,하마캠핑장,경기도 파주시 적성면 국사로 297,010-6225-8264,2021/03/05,37.96115977,126.8696215
여주시,호수산장관광농원&캠핑,경기도 여주시 가남읍 신해리 222-2,031-882-9779,2021/03/05,37.23216612,127.5416804
군포시,초막골생태공원가족캠핑장,경기도 군포시 산본동 919,,2021/03/05,37.34727826,126.9185992
가평군,새연리조트 가평현리1호점,경기도 가평군 조종면 운악청계로333번길 86,010-4150-6204,2021/03/05,37.8467508,127.3465556
가평군,산으로간니모,경기도 가평군 조종면 연인산로 670-321,031-584-5550,2021/03/05,37.85451211,127.3971929
포천시,포천준글램핑,경기도 포천시 이동면 금강로 6217-16,031-533-5966,2021/03/05,38.08356042,127.3898488
파주시,임진강리조트,경기도 파주시 파평면 청송로 550,031-959-1318,2021/03/05,37.93777543,126.8703676
연천군,임진강글램핑,경기도 연천군 미산면 어삼로 391-79,031-835-3550,2021/03/05,,
양주시,일영무두리캠핑장,경기도 양주시 장흥면 유원지로 176-77,031-855-6102,2021/03/05,37.70059514,126.9472478
여주시,이포보오토캠핑장,경기도 여주시 대신면 여양로 1935-177,031-881-6384,2021/03/05,37.3856114,127.5489581
가평군,은하캠프,경기도 가평군 가평읍 읍내리 967-18,011-246-0287,2021/03/05,37.84270577,127.5088276
포천시,산마루글램핑&오토캠핑장,경기도 포천시 이동면 금강로 6584-20,010-5248-7059,2021/03/05,38.11180592,127.3993999
파주시,비학농원캠프장,경기도 파주시 법웝읍 만월로 613번길 217,010-9581-1160,2021/03/05,37.89107252,126.914392
김포시,봉바위체험농원,경기도 김포시 하성면 평화공원로70번길 290-97,031-983-5095,2021/03/05,37.74063285,126.6113259
가평군,유명산라온캠핑장,경기도 가평군 설악면 유명산길 124-34,031-585-5340,2021/03/05,37.59200697,127.4855916
포천시,위크온 글램핑,경기도 포천시 이동면 늠바위길 201-3,010-9850-3433,2021/03/05,38.02933754,127.3879246
용인시,우리들 캠핑장,경기도 용인시 처인구 원삼면 좌항리 224-1,070-8832-4442,2021/03/05,37.20769531,127.3098802
연천군,한탄강오토캠핑장,경기도 연천군 전곡읍 선사로 76,031-833-0030,2021/03/05,38.00887944,127.0588639
용인시,싱글벙글캠핑장,경기도 용인시 처인구 이동읍 상덕로 95-62,010-4611-4246,2021/03/05,37.21207947,127.1586666
가평군,에뜨유명산 오토캠핑장,경기도 가평군 설악면 유명산길 124-17,010-2559-6792,2021/03/05,37.591971,127.4862939
안산시,고래숲관광농원,"경기도 안산시 단원구 장불길 14, 고래숲(대부남동)",010-7672-2447,2021/03/05,37.20036344,126.5616401
포천시,달빛글램핑,경기도 포천시 일동면 사기막길 67-6,010-9030-3294,2021/03/05,37.96504399,127.337669
가평군,올덴 펜션,경기도 가평군 청평면 고재길 262-64,010-8073-1877,2021/03/05,37.70199768,127.5168574
가평군,캠플레이 캠핑장,경기도 가평군 상면 상동리 250-2,010-4947-3333,2021/03/05,37.78074798,127.2887532
안성시,집보다 캠핑장,경기도 안성시 양성면 도라지길 29-28,010-5416-0338,2021/03/05,37.05998715,127.182812
가평군,가평 칼봉산카라반펜션,경기도 가평군 가평읍 경반안로 229,010-2210-1357,2021/03/05,37.82732697,127.4824324
양주시,전원일기마을캠핑장,경기도 양주시 장흥면 삼하리 210-2,031-871-9253,2021/03/05,37.67277025,126.9098525
포천시,아버지의숲 산정캠프,경기도 포천시 영북면 산정호수로 558-1,010-5272-9141,2021/03/05,38.05478166,127.3227443
포천시,파피루스 캠핑장,경기도 포천시 영중면 성동리 75,010-3357-4500,2021/03/05,38.02688199,127.2822261
여주시,흙의 사랑 캠핑장,경기도 여주시 능서면 중부대로 2545-74 흙의 사랑 캠핑장,070-4633-2899,2021/03/05,37.30350392,127.5813914
가평군,홀리데이캠프캠핑장,경기도 가평군 설악면 유명로 654-82,010-3722-8513,2021/03/05,37.60363516,127.4945167
연천군,한탕강소나무캠핑,경기도 연천군 전곡읍 전곡리 58-8,010-9511-9966,2021/03/05,38.01626049,127.0771978
가평군,한송오토캠핑장,경기도 가평군 설악면 묵안로 1016,010-4755-0432,2021/03/05,37.6006916,127.535323
가평군,하늘숲글램핑파크,경기도 가평군 북면 화악산로 254-38,010-2889-8238,2021/03/05,37.90449114,127.5620627
가평군,플로렌스글램핑&캠핑,경기도 가평군 북면 보안벚꽃길 54,010-2925-1020,2021/03/05,37.89280679,127.5503953
양평군,플라워카라반펜션,경기도 양평군 석산로 1543-9,010-7118-5432,2021/03/05,37.64622003,127.616995
포천시,비둘기낭캠핑장,경기도 포천시 영북면 비둘기낭길 116,031-540-6501,2021/03/05,38.07722686,127.2220806
연천군,평화강변수목캠핑장,경기도 연천군 미산면 어삼로 137-11,031-835-7394,2021/03/05,38.0189305,126.9778813
안성시,샤토안오토캠핑장,경기도 안성시 서운면 인리 330-7,031-675-6675,2021/03/05,36.93719748,127.2681309
안성시,캠핑코리아,경기도 안성시 금광면 진안로 165-16,010-9299-7784,2021/03/05,36.96128357,127.3726932
안성시,안성잔디팜캠핑장,경기도 안성시 금광면 연내동길 138-37,031-675-7433,2021/03/05,36.97146184,127.382327
파주시,캠프예그리나,경기도 파주시 광탄면 쇠장이길 56,010-3160-1973,2021/03/05,37.77700576,126.9094222
파주시,하늘연캠핑장,경기도 파주시 적성면 마지초교길 22-61,010-4590-1051,2021/03/05,37.95118847,126.921655
양주시,양주감악산캠핑장,경기도 양주시 남면 감악산로 632-32,010-3460-4749,2021/03/05,37.91418579,126.9565862
용인시,용인 미르힐,경기도 용인시 처인구 모현면 초부로 215-7,010-8799-9771,2021/03/05,37.3154498,127.265211
양주시,양주산막골캠핑장,경기도 양주시 백석읍 기산로 414-20,031-871-0058,2021/03/05,37.7748463,126.9378158
수원시,광교호수공원 가족캠핑장,경기도 수원시 영통구 광교호수로 57,031-548-0075,2021/03/05,37.27498862,127.0652692
파주시,임진강리조트,경기도 파주시 파평면 청송로550,031-959-1318,2021/03/05,37.93777543,126.8703676
김포시,김포한강오토캠핑장,경기도 김포시 하성면 월하로912번길 64,031-989-1000,2021/03/05,37.70259638,126.6527657
이천시,이천캠핑랜드,경기도 이천시 율현동 이섭대천로941번길 49-44,031-633-0700,2021/03/05,37.25246123,127.4397053
양평군,용문산 자연휴양림,경기도 양평군 양평읍 약수사길 78-14,031-775-4005,2021/03/05,37.51604878,127.5194181
양평군,대명레저산업 양평,경기도 양평군 개군면 신내길7번길 55,031-1588-4888,2021/03/05,37.46926489,127.5326148
부천시,야인시대캠핑장,경기도 부천시 원미구 길주로 1,031-1899-5584,2021/03/05,37.50867185,126.7437361
여주시,이포보 오토&웰빙캠핑장,경기도 여주시 대신면 천서리,031-881-6384,2021/03/05,,
포천시,명성산글램핑,경기도 포천시 영북면 산정호수로 1017,031-536-4066,2021/03/05,38.09017923,127.3197053
포천시,천보산자연휴양림오토캠핑장,경기도 포천시 원동교길 303,031-544-6678,2021/03/05,37.85333556,127.1214253
광명시,광명도덕산캠핑장,경기도 광명시 밤일안로42번길 69,02-2610-7370,2021/03/05,37.45959871,126.860638
가평군,이지캠핑장,경기도 가평군 설악면 유명로 2110,031-585-3103,2021/03/05,37.69555664,127.4602537
가평군,동물카라반펜션,경기도 가평군 상면 임초밤안골로 313,010-8604-0999,2021/03/05,37.74713557,127.3599968
양평군,스톤힐,경기도 양평군 양평읍 양근골안길17번길 2-24,010-2705-8512,2021/03/05,37.50057323,127.4871026
양평군,산음자연휴양림,경기도 양평군 단월면 고북길 347,031-774-8133,2021/03/05,37.59613913,127.5752068
연천군,나린오토캠핑장,경기도 연천군 미산면 어삼로 391-81,010-2955-6078,2021/03/05,38.01863382,126.9719934
양평군,용문산야영장,경기도 양평군 용문면 용문산로 684,010-3267-0279,2021/03/05,37.54729164,127.5798218
파주시,율곡 캠핑장,경기도 파주시 파평면 장승배기로 390-217,010-5353-8989,2021/03/05,37.89176915,126.8287819
파주시,명학산 캠핑장,경기도 파주시 파주읍 향양리 4-1 명학산 캠프(캠핑장),010-5062-1911,2021/03/05,37.85096494,126.8311993
여주시,팜스퀘어,경기도 여주시 능현2길 59-46,010-4367-1284,2021/03/05,37.26767639,127.651551
여주시,여주 인디언 캠핑장,경기도 여주시 현암동 평장길 74 인디언 캠핑장,010-2689-1221,2021/03/05,,
여주시,해여림빌리지,경기도 여주시 산북면 해여림로 78,031-882-1700,2021/03/05,37.39171684,127.4383399
여주시,여주 카라반 체험장,경기도 여주시 점동면 선사길 321,02-2002-9843,2021/03/05,37.23807311,127.684187
부천시,아인스월드캠핑,경기도 부천시 도약로1,032-320-6000,2021/03/05,37.51315207,126.7452298
양주시,안태울캠핑장,경기도 양주시 광적면 화합로81번길 375-66,031-871-1388,2021/03/05,37.87202291,126.9507108
양주시,비타민 캠핑장,경기도 양주시 백석읍 기산로440번길 110-43,031-876-3377,2021/03/05,37.77033572,126.9369757
연천군,힐링카라반,경기도 연천군 장남면 장백로330번길 46-97,031-835-6000,2021/03/05,37.99247126,126.8903314
이천시,테르메덴숲속카라반,경기도 이천시 모가면 사실로 984,031-645-2000,2021/03/05,37.19472901,127.4459485
용인시,나인힐스 구봉산오토캠핑장,경기도 용인시 처인구 원삼면 목산리 83,010-3043-8822,2021/03/05,37.11720571,127.3116147
가평군,가평카라반캠핑농원,경기도 가평군 가평읍 문화로 291-25,010-8780-2991,2021/03/05,37.83871182,127.5043074
포천시,자일랜드 글램핑펜션,경기도 포천시 영북면 호국로4350번길 154-187,070-7760-0393,2021/03/05,38.10550308,127.3096644
김포시,솔내음캠핑장,경기도 김포시 통진읍 절골로127번길 32-90,031-997-3775,2021/03/05,37.68954964,126.5811201
포천시,깊이울 캠핑장,경기도 포천시 신북면 깊이울로 141,,2021/03/05,37.92372605,127.1753152
가평군,산장관광지,경기도 가평군 상면 덕현상장길 74,031-8078-8057,2021/03/05,,
가평군,아리움캠핑장,경기도 가평군 상면 왕대벌길 147,031-584-1279,2021/03/05,37.76914285,127.3731718
가평군,유명산 자연휴양림,경기도 가평군 설악면 유명산길 79-53,031-589-5487,2021/03/05,37.59322435,127.4911985
양평군,산음캠핑,경기도 양평군 단월면 고북길 76-23,031-772-3054,2021/03/05,37.59989986,127.5970295
가평군,캠핑어클락,경기도 가평군 조종면 연인산로474번길 27,031-585-3509,2021/03/05,37.8472648,127.3775505
양평군,별자리캠핑장,경기도 양평군 서종면 서정로 361-3,010-4317-0808,2021/03/05,37.5977171,127.4257546
양평군,꿈의 마을 캠핑장,경기도 양평군 청운면 황정2길 98-9,010-3463-0574,2021/03/05,37.55791685,127.7221875
포천시,353캠핑,경기도 포천시 영북면 산정호수로 1004,031-535-2250,2021/03/05,38.08920746,127.3207568
가평군,리스캐빈,경기도 가평군 설악면 유명산길 61-19,010-5261-3731,2021/03/05,37.59691995,127.491991
양평군,중미산자연휴양림,경기도 양평군 옥천면 중미산로 11,031-771-7166,2021/03/05,37.60412999,127.3532978
가평군,포시즌캠핑장,경기도 가평군 상면 청군로 1640,010-3201-3940,2021/03/05,37.82727235,127.3203241
여주시,예터캠핑&엘리스숲미술관,경기도 여주시 점동면 오갑산길 148-124,010-5717-1572,2021/03/05,37.16459716,127.6911044
양평군,X_LIFE,경기도 양평군 옥천면 용천리 산29-1,010-3796-9901,2021/03/05,37.5608229,127.5113068
양평군,양평칠읍산밸리,경기도 양평군 용문면 화전로266번길 10-5,010-5441-4477,2021/03/05,37.46691548,127.6047167
포천시,아침햇살수련원,경기도 포천시 관인면 찬우물길 201-47,031-533-0573,2021/03/05,38.1617161,127.2745429
화성시,경기도사격테마파크,경기도 화성시 양감면 사격장길 142,031-352-6056,2021/03/05,37.09391602,126.9565242
