시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
파주시,벽초지문화수목원체험장'도야',경기도 파주시 광탄면 창만리 166-1,031-948-5787,2021/03/05,37.80083641,126.8733951
파주시,자운서원,경기도 파주시 자운서원로 204,031-958-1749,2021/03/05,37.86613508,126.870989
이천시,꾸메숲버섯나라,경기도 이천시 모가면 서경리 150-1,507-1452-3427,2021/03/05,37.15739507,127.4861004
화성시,에이원승마클럽,경기도 화성시 봉담읍 생수길96,031-291-5426,2021/03/05,37.19303681,126.9471612
화성시,또나따목장,경기도 화성시 마도면 마도로 223-19,031-356-1602,2021/03/05,37.18723257,126.7294229
화성시,돌샘터목장,경기도 화성시 우정읍 석천안길 102-27,031-358-5382,2021/03/05,,
연천군,애심목장,경기도 연천군 연천읍 와초길 10-36,031-834-3601,2021/03/05,38.13988733,127.0935546
평택시,평택시농업기술센터,경기도 평택시 오성면 숙성리 96,031-8024-4631,2021/03/05,37.01427206,126.9808811
남양주시,남양주시화도푸른물센터,경기도 남양주시 화도읍 폭포로 562,031-590-4660,2021/03/05,37.63155705,127.3469568
남양주시,주필거미박물관,경기도 남양주시 조안면 진중리 528,031-576-7908,2021/03/05,37.56712835,127.2824619
의왕시,의왕자연학습공원,경기도 의왕시 왕송못동로 307,031-345-3533,2021/03/05,37.30710897,126.9531542
양평군,민물고기생태학습관,경기도 양평군 용문면 상광길 23-2,031-8008-6523,2021/03/05,37.51195766,127.6388839
안성시,안성허브마을,경기도 안성시 삼죽면 국사봉로 641-12,031-671-6969,2021/03/05,37.06537477,127.3584475
광주시,유정뜰농원,경기도 광주시 도척면 유정리 347-1,031-762-5210,2021/03/05,37.29045869,127.3210837
양평군,양평곤충박물관,경기도 양평군 옥천면 경강로 1496,031-775-8022,2021/03/05,37.50919809,127.4491849
양평군,마들가리마을,경기도 양평군 양동면 양동로 572,031-771-6432,2021/03/05,37.49921959,127.7024979
양평군,세미원,경기도 양평군 양서면 양수로 93,031-775-1835,2021/03/05,37.54094097,127.3239566
남양주시,주필거미박물관,경기도 남양주시 조안면 진중리 528,031-576-7908,2021/03/05,37.56712835,127.2824619
파주시,헤이리예술마을,경기도 파주시 탄현면 헤이리마을길 82-105,031-946-8551,2021/03/05,37.78807106,126.7037375
이천시,세라피아,경기도 이천시 경충대로 2697번길 167-29,031-631-6501,2021/03/05,37.27406904,127.425927
이천시,이천자채방아마을,경기도 이천시 대월면 대월로358번길 168-24,031-634-4283,2021/03/05,37.19114449,127.5070195
의왕시,의왕자연학습공원,경기도 의왕시 왕송못동로 307,031-345-3533,2021/03/05,37.30710897,126.9531542
여주시,신륵사,경기도 여주시 신륵사길 73,031-885-2505,2021/03/05,37.29742052,127.6599489
안성시,안성유별난마을,경기도 안성시 대덕면 소내리 장수정길 12-22,031-672-8600,2021/03/05,37.04060489,127.2335172
안산시,상록수된장마을,경기도 안산시 단원구 대부황금로 717,032-888-0706,2021/03/05,37.23815658,126.6152976
가평군,버섯구지마을,경기도 가평군 조종면 대보간선로 173,031-584-9614,2021/03/05,37.80934987,127.3642305
가평군,아침고요 푸른마을,경기도 가평군 상면 수목원로 262-22,031-585-3633,2021/03/05,37.75527403,127.3595501
광명시,기아자동차 공장견학,경기도 광명시 기아로 113,02-801-3408,2021/03/05,37.43626892,126.8873776
광명시,금강정사 템플스테이,경기도 광명시 설월로 58,02-898-8200,2021/03/05,37.44188021,126.8728281
광명시,광명시노온정수장맑은물홍보관,경기도 광명시 밤일로 75,02-2680-6270,2021/03/05,37.44910346,126.856295
고양시,고양 낙농 치즈 테마체험장,경기도 고양시 덕양구 통일로 915-67,031-964-3057,2021/03/05,37.69774864,126.8536299
용인시,용인곤충테마파크,경기도 용인시 처인구 백암면 근삼리 274-7,031-321-8090,2021/03/05,37.14617833,127.3659655
고양시,현대모터스튜디오고양,경기도 고양시 일산서구 킨텍스로 217-6,031-1899-6611,2021/03/05,37.66610555,126.7476293
수원시,플라잉수원,경기도 수원시 팔달구 지동 255-4,031-247-1300,2021/03/05,37.28656812,127.0263377
용인시,술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,070-4218-5225,2021/03/05,37.23350202,127.2986095
용인시,바운스트램폴린파크,경기도 용인시 기흥구 동백죽전대로175번길 6,070-8858-6433,2021/03/05,37.25764149,127.1604459
시흥시,배곧한울공원해수체험장,경기도 시흥시 정왕동 2590,031-488-6961,2021/03/05,37.35465347,126.7020269
파주시,아눔아트센터,경기도 파주시 문발로 435,031-955-9449,2021/03/05,37.73143856,126.6913051
안성시,안성 서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021/03/05,37.08137613,127.4762155
안성시,안성 서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021/03/05,37.08137613,127.4762155
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021/03/05,37.4246681,126.8634442
광명시,광명동굴,경기도 광명시 가학로85번길 142,070-4277-8902,2021/03/05,37.4246681,126.8634442
안성시,안성미리내마을,경기도 안성시 양성면 미산1길 2,010-9335-7821,2021/03/05,37.13858064,127.2586203
안성시,인처골마을,경기도 안성시 서운면 인처동길 38-7,031-677-0286,2021/03/05,36.94484456,127.2724178
양주시,맹골마을,경기도 양주시 남면 휴암로 443번길 29-6,031-867-6978,2021/03/05,37.89333729,126.9582067
양주시,허브힐,경기도 양주시 남면 양연로 305,031-866-7672,2021/03/05,37.93528989,127.0003909
안산시,선감어촌체험마을,경기도 안산시 단원구 개건너길 78,032-886-6133,2021/03/05,37.22057075,126.6299077
김포시,수안산생태원,경기도 김포시 대곶면 종생로 136번길 145,031-989-4547,2021/03/05,37.64056733,126.5956311
광주시,산두른마을,경기도 광주시 도척면 추곡길 38,031-762-0166,2021/03/05,37.27926235,127.291178
광주시,퇴촌식물원,경기도 광주시 퇴촌면 정영로 315,031-766-6517,2021/03/05,37.46729358,127.3260745
가평군,물미연꽃마을,경기도 가평군 설악면 미사리로645번길 185-90,031-584-6926,2021/03/05,37.71834691,127.5226819
용인시,한터조랑말농장,경기도 용인시 처인구 양지면 대대로 110,031-332-3695,2021/03/05,37.27120944,127.2652921
용인시,용인 학일마을,경기도 용인시 처인구 원삼면 학일로 117,031-334-7991,2021/03/05,37.14737668,127.2858207
용인시,호박등불마을,경기도 용인시 처인구 모현면 능곡로56번길 7,010-5624-1044,2021/03/05,37.33641035,127.1784021
안성시,구메농사마을,경기도 안성시 죽산면 임꺽정길 51-7,070-7098-3096,2021/03/05,37.02436334,127.4082382
여주시,그린투어마을,경기도 여주시 능서면 광대1길 10-1,031-881-5454,2021/03/05,37.26348611,127.5748296
안성시,과채류마을,경기도 안성시 미양면 신계 4길 20,031-672-1951,2021/03/05,36.96458914,127.1765353
여주시,여주 팜스테이마을,경기도 여주시 금사면 윗범실길 8-3,031-886-5552,2021/03/05,37.40874828,127.4745982
양평군,산수유꽃마을,경기도 양평군 개군면 산수유꽃길 88,031-771-5010,2021/03/05,37.43504556,127.5779504
양평군,쌍겨리마을,경기도 양평군 단월면 섬이길 274-12,031-771-9382,2021/03/05,37.62933003,127.5837967
양평군,그린토피아과수마을,경기도 양평군 양서면 골용진길19번길 2-6,010-3484-4929,2021/03/05,37.5573075,127.3286281
포천시,축석자연농원,경기도 포천시 소흘읍 이동교리 수목원로 1108,031-853-8444,2021/03/05,,
화성시,반석산 에코스쿨,경기도 화성시 남양읍 시청로 159,031-1577-4200,2021/03/05,37.19749051,126.8302682
여주시,목아박물관,경기도 여주시 강천면 이문안길 21,031-885-9952,2021/03/05,37.2885093,127.6881569
파주시,볼거리나라,경기도 파주시 문산읍 반구정로 36-13,031-945-9119,2021/03/05,37.86718507,126.758698
이천시,세라피아,경기도 이천시 경충대로 2697번길 167-29,031-631-6501,2021/03/05,37.27406904,127.425927
연천군,나룻배마을,경기도 연천군 왕징면 북삼로 98,031-833-5005,2021/03/05,38.09557838,127.0036924
파주시,파주 산머루농원,경기도 파주시 적성면 윗배우니길 441-25,,2021/03/05,37.96024784,126.9579204
양주시,조명박물관,경기도 양주시 광적면 광적로 235-48,070-7780-8911,2021/03/05,37.83610213,126.967524
양주시,송암스페이스센터,경기도 양주시 장흥면 권율로 185번길 103,031-894-6000,2021/03/05,37.73585174,126.9427526
안산시,유리섬박물관,경기도 안산시 단원구 부흥로 254,032-885-6262,2021/03/05,37.21978853,126.6023926
시흥시,창조자연사박물관,경기도 시흥시 두문로71번길 4,031-435-1009,2021/03/05,37.43372887,126.7864711
김포시,다도박물관,경기도 김포시 월곶면 애기봉로 275번길 187-49,031-998-1000,2021/03/05,37.73753694,126.5744441
수원시,전통식생활체험관,경기도 수원시 팔달구 정조로 893,031-247-3761,2021/03/05,37.28764484,127.0144295
파주시,오두산통일전망대,경기도 파주시 탄현면 필승로 369,031-956-9600,2021/03/05,37.77302559,126.6771018
파주시,파주장단콩마을,경기도 파주시 군내면 통일촌길 64,031-953-7600,2021/03/05,37.91071683,126.7333027
연천군,선사체험마을,경기도 연천군 전곡읍 양연로 1510,031-839-2206,2021/03/05,38.01564874,127.0614549
양주시,청암민속박물관,경기도 양주시 장흥면 권율로 83-5,031-855-5100,2021/03/05,37.72205774,126.9457721
용인시,용인시박물관,경기도 용인시 기흥구 동백 3로 79,031-324-4796,2021/03/05,37.27392025,127.1571468
수원시,화성행궁,경기도 수원시 팔달구 정조로 825,031-228-4480,2021/03/05,37.28188483,127.0143989
여주시,이조도예 체험학습장,경기도 여주시 평장길 55 이조도예,031-885-2108,2021/03/05,37.32069855,127.6427185
파주시,파주평화통일체험학습장,경기도 파주시 적성면 달빛길 54,031-959-4215,2021/03/05,37.97845312,126.9181618
여주시,농업회사법인 l주l 은아목장,경기도 여주시 가남읍 금당5길 139,031-882-5868,2021/03/05,37.21254618,127.6203569
포천시,포천아트밸리 천문과학관,경기도 포천시 신북면 아트밸리로 234,031-538-3488,2021/03/05,37.92344632,127.236496
평택시,웃다리문화촌,경기도 평택시 서탄면 금각리 용소금각로 438-14,031-667-0011,2021/03/05,37.06873949,127.0081905
이천시,도립서당,경기도 이천시 백사면 원적로775번길 38-92,031-634-3357,2021/03/05,37.3433945,127.4621787
의왕시,참나무와도토리 청계학습장,경기도 의왕시 원터아랫길 11-16 청계천연염색장,031-426-8009,2021/03/05,37.39479868,127.0160212
양평군,환경재생조형박물관,경기도 양평군 강상면 강남로 981,031-772-7978,2021/03/05,37.48360001,127.4834181
안성시,풍산개마을,경기도 안성시 삼죽면 계곡길 89,031-674-4348,2021/03/05,37.08707032,127.3813834
김포시,김포함상공원,경기도 김포시 대곶면 대명항1로110-36,031-980-8300,2021/03/05,37.64067164,126.5392752
군포시,누리천문대,경기도 군포시 대야2로 139,031-390-8674,2021/03/05,37.33031015,126.9153637
고양시,쥬라리움 일산점,경기도 고양시 덕양구 원당로 458번길 7-42,031-962-4500,2021/03/05,37.68859859,126.8549797
용인시,용인농촌테마파크,경기도 용인시 처인구 원삼면 농촌파크로 80-1 농촌테마파크,031-324-4081,2021/03/05,37.17101369,127.2971197
수원시,kbs수원센터,경기도 수원시 팔달구 인계로 123,031-219-8081,2021/03/05,37.27006261,127.0333331
양평군,양평레일바이크,경기도 양평군 용문면 용문로 277,031-775-9911,2021/03/05,37.47971162,127.5865474
화성시,제부리마을,경기도 화성시 서신면 제부리 224,031-357-3808,2021/03/05,37.17179362,126.6208747
성남시,국가기록원 나라기록관,경기도 성남시 수정구 대왕판교로 851번길 30,031-750-2000,2021/03/05,37.41755095,127.0954333
고양시,증권박물관,경기도 고양시 일산동구 호수로 358-8 한국예탁결제원,031-900-7070,2021/03/05,37.63853826,126.786013
파주시,나라사랑DMZ병영체험장,경기도 파주시 적성면 감악산로 1377-12,031-959-9477,2021/03/05,37.96698505,126.9221063
파주시,파주치즈스쿨,경기도 파주시 적성면 윗배우니길 68,031-959-0773,2021/03/05,37.97387455,126.948074
파주시,카트랜드,경기도 파주시 탄현면 필승로 398-30,031-944-1580,2021/03/05,37.77742116,126.6844795
용인시,이영미술관,경기도 용인시 기흥구 흥덕4로 63,031-213-8223,2021/03/05,37.27731264,127.0900943
용인시,삼성화재교통박물관,경기도 용인시 처인구 포곡읍 애버랜드로 376번길 171,031-320-9900,2021/03/05,37.30037208,127.2169533
군포시,비숲,경기도 군포시 둔대로 28,031-438-2191,2021/03/05,37.32578827,126.8892013
포천시,낙농체험 밀크스쿨 아트팜,경기도 포천시 영북면 소회산리 119-3,031-536-5216,2021/03/05,38.08259128,127.2461821
광주시,지월농원,경기도 광주시 초월읍 현산안길 7-69,031-797-0050,2021/03/05,37.40275753,127.2888246
광주시,곤지암베리팜,경기도 광주시 곤지암읍 연곡리 135,031-762-1474,2021/03/05,37.37184399,127.3915799
광주시,물환경전시관/전망대,경기도 광주시 남종면 산수로 1692,031-8008-6937,2021/03/05,37.49958945,127.3030108
오산시,서랑동 문화마을,경기도 오산시 서랑로105번길 29-5 일대,031-8036-7582,2021/03/05,37.17377415,127.0064404
수원시,예절교육관,경기도 수원시 팔달구 정조로 893,031-247-5611,2021/03/05,37.28764484,127.0144295
안성시,용설호문화마을,경기도 안성시 죽산면 용설호수길 187,031-676-5518,2021/03/05,37.05332267,127.4460377
안성시,안성맞춤천문과학관,경기도 안성시 보개면 남사당로 198-9,031-675-6975,2021/03/05,37.03292256,127.3125318
안성시,안성천문대,경기도 안성시 미양면 천문대길 60,031-677-2245,2021/03/05,36.95556386,127.2339037
군포시,물누리체험관,경기도 군포시 호수로 170-85,,2021/03/05,37.32136191,126.8996545
화성시,진주목장,경기도 화성시 비봉면 일묵동길 24,031-356-0073,2021/03/05,37.24127708,126.879331
화성시,전곡리마을,경기도 화성시 서신면 전곡항로14번길 1-16,031-356-8862,2021/03/05,,
화성시,국화리마을,경기도 화성시 우정읍 국화길 8,031-356-9940,2021/03/05,37.06108675,126.5589943
화성시,상두리마을,경기도 화성시 향남읍 솔태상두길 141,010-8741-8650,2021/03/05,37.10768815,126.9464542
화성시,금당 엄나무마을,경기도 화성시 마도면 금당복길 70,031-356-5470,2021/03/05,37.19175005,126.7422328
화성시,장전 노루마을,경기도 화성시 남양읍 장전길 58,031-357-7630,2021/03/05,37.26475602,126.8229964
연천군,드라마미술전시장(3월오픈예정),경기도 연천군 군남면 옥계안길 24-41,031-834-7310,2021/03/05,38.12089948,127.0472157
광주시,경기도자박물관,경기도 광주시 곤지암읍 경충대로 727,031-799-1500,2021/03/05,37.35027997,127.3347904
양평군,광이원,경기도 양평군 용문면 용문산로 120-11,031-774-4700,2021/03/05,37.50744026,127.6055427
이천시,꾸메숲버섯나라,경기도 이천시 모가면 서경리 150-1,507-1452-3427,2021/03/05,37.15739507,127.4861004
파주시,DMZ해마루촌,경기도 파주시 진동면 해마루길 111,010-2417-5100,2021/03/05,37.92591747,126.7871459
파주시,모산목장,경기도 파주시 탄현면 검산로519번길 6-36,031-946-8026,2021/03/05,37.80156567,126.7243229
이천시,노성산정거장마을,경기도 이천시 설성면 수산리 383-1,031-641-5600,2021/03/05,37.14039691,127.4981251
포천시,교동장독대마을,경기도 포천시 관인면 신교동로 148-11,031-534-5211,2021/03/05,38.10336595,127.2191985
연천군,연천푸르내마을,경기도 연천군 청산면 청연로 30-62,031-833-5299,2021/03/05,38.0347538,127.106728
양평군,유기농마을,경기도 양평군 옥천면 하사천길 14,070-8839-6250,2021/03/05,37.52734361,127.4858417
양평군,양평보릿고개마을,경기도 양평군 용문면 연안길 32-1,031-774-7786,2021/03/05,37.52678084,127.5570743
여주시,여주서화마을,경기도 여주시 북내면 서원2길 38,070-7722-0330,2021/03/05,37.39931991,127.6974722
양주시,행원도예,경기도 양주시 장흥면 가마골로 80,031-826-0421,2021/03/05,37.72518309,126.9768411
고양시,중남미문화원,경기도 고양시 덕양구 대양로285번길 33-15,031-962-7171,2021/03/05,37.70399984,126.8953565
이천시,신둔초전통도예체험학습장,경기도 이천시 신둔면 경충대로 3150번길 82-3,031-632-7006,2021/03/05,37.31028911,127.4035246
파주시,파주장단콩마을,경기도 파주시 군내면 통일촌길 64,031-953-7600,2021/03/05,37.91071683,126.7333027
파주시,이시대의좋은소리,경기도 파주시 광탄면 쇠장이길 21,031-948-2072,2021/03/05,37.77646648,126.9079276
파주시,쇠꼴마을,경기도 파주시 법원읍 금곡리 420-3,031-959-0123,2021/03/05,37.88257848,126.8731953
파주시,파주나비나라박물관,경기도 파주시 광인사길 161,031-955-3727,2021/03/05,37.71485121,126.6869017
화성시,발리오스 승마클럽,경기도 화성시 팔탄면 3.1만세로 641-28,031-373-8254,2021/03/05,37.11654874,126.860405
화성시,말달리자 승마클럽,경기도 화성시 매송면 원평리 48-5번지,031-298-2588,2021/03/05,37.24777073,126.9283938
안성시,서일농원,경기도 안성시 일죽면 금일로 332-17,031-673-3171,2021/03/05,37.08137613,127.4762155
화성시,전곡항 요트,경기도 화성시 서신면 전곡항로 5,031-357-5249,2021/03/05,37.18561539,126.6510723
포천시,허브아일랜드,경기도 포천시 신북면 청신로947번길 35,031-535-6494,2021/03/05,37.96592242,127.1317088
평택시,바람새마을,경기도 평택시 고덕면 새악길 43-62,010-5904-4695,2021/03/05,37.01332365,127.0201596
파주시,임진각평화누리,경기도 파주시 문산읍 임진각로 148-40,031-956-8300,2021/03/05,37.89204436,126.7447898
의왕시,의왕조류생태과학관,경기도 의왕시 왕송못동길 209,031-8086-7490,2021/03/05,37.31087236,126.9502606
오산시,물향기수목원,경기도 오산시 청학로 211,031-378-1261,2021/03/05,37.16624795,127.0543478
양평군,풀향기 허브나라 & 더 토이:토이전시,경기도 양평군 용문면 덕촌리 13-1,031-771-1809,2021/03/05,37.50744026,127.6055427
구리시,구리시곤충생태관,경기도 구리시 검배로 200,031-550-2586,2021/03/05,37.59203001,127.1613998
용인시,청계목장,경기도 용인시 처인구 백암면 청계로 104번길 20,031-322-5200,2021/03/05,37.15364577,127.3966516
용인시,농도원목장,경기도 용인시 처인구 원삼면 원양로377번길 1-34,031-321-0445,2021/03/05,37.1932958,127.2966319
