시군명,명칭,전화번호,소재주소,위도,경도,카테고리
포천시,포천 화적연,031-538-2106,경기도 포천시 영북면 자일리 산115-2,38.11739313,127.2669831,자연
광주시,팔당호,031-760-2000,경기도 광주시 남종면 우천리 55,,,자연
화성시,남양호(남양황라),031-369-2114,경기도 화성시 우정읍 이화리 1604,37.01595836,126.8062291,자연
포천시,고모리저수지,031-538-4102,경기도 포천시 소흘읍 죽엽산로 452,37.79458444,127.16487509999999,자연
여주시,여강길,031-884-9089,경기도 여주시 강변유원지길 105,37.29306619,127.6669009,자연
의왕시,덕성산,031-345-3521,경기도 의왕시 월암동,,,자연
화성시,공룡알화석산지,031-357-3951,경기도 화성시 공룡로 659,37.26222434,126.74707579999999,자연
연천군,임진강,031-839-2061,경기도 연천군 미산면 동이리,,,자연
과천시,막계청담(과천저수지),,경기도 과천시 막계동 408,37.43304795,127.01325420000002,자연
연천군,한탄강관광지,031-833-0030,경기도 연천군 전곡읍 선사로76,38.00887944,127.05886389999999,자연
파주시,애룡저수지,031-950-3260,경기도 파주시 법원읍 애룡길 194,37.82733701,126.85816000000001,자연
가평군,운악산,,경기도 가평군 조종면,,,자연
가평군,명지산,031-582-0103,경기도 가평군 북면 도대리,,,자연
포천시,명성산,031-538-3342,경기도 포천시 영북면 명성산,,,자연
양평군,용문산,031-773-0088,경기도 양평군 용문면 용문산로 655,37.54616334,127.5821639,자연
시흥시,소래산,031-317-2000,경기도 시흥시 대야동 332-80,37.44962927,126.7828588,자연
가평군,유명산,031-589-5487,경기도 가평군 설악면 유명산길 79-53,37.59322435,127.49119850000001,자연
화성시,입파도,,경기도 화성시 우정읍 입파길 24-15,37.10542961,126.5413848,자연
화성시,제부도,031-369-1673,경기도 화성시 서신면 제부리 224,37.17179362,126.6208747,자연
가평군,잣향기푸른숲,031-8008-6769,경기도 가평군 상면 축령로 289-146,37.76914766,127.33356780000001,자연
포천시,운악산,,경기도 포천시 화현면,,,자연
가평군,아침고요수목원,031-1544-6703,경기도 가평군 상면 수목원로 432,37.74395379999999,127.3525341,자연
남양주시,산들소리 수목원,031-574-3252,경기도 남양주시 불암산로59번길 48-31,37.6510763,127.1015502,자연
김포시,아라뱃길,031-1899-3650,경기도 김포시 고촌읍 전호리,,,자연
용인시,석성산일출  (용인8경 중 제1경),,경기도 용인시 기흥구 중동,,,자연
과천시,관악산 둘레길,,경기도 과천시 관문동,,,자연
과천시,경기도 삼남길,,경기도 과천시 중앙동 56,37.43035373,126.9902278,자연
의정부시,원도봉산,031-828-4572,경기도 의정부시 망월로28번길 51-97,37.70547364,127.03784309999999,자연
가평군,호명산,031-580-2481,경기도 가평군 청평면 호명리,,,자연
양평군,화야산,031-770-3181,경기도 양평군 서종면 노문리,,,자연
포천시,청계산,02-3677-2343,경기도 포천시 일동면 기산리,,,자연
광주시,관산,031-760-4774,경기도 광주시 퇴촌면,,,자연
고양시,정발산,,경기도 고양시 일산동구 가인길 58,,,자연
구리시,아차산,02-450-1395,경기도 구리시 아천동,,,자연
광주시,무갑산,031-760-2468,경기도 광주시 초월읍 퇴촌면,,,자연
군포시,수리산산림욕장,031-387-7111,경기도 군포시 산본동 산18-3외 39필지,37.37344888,126.9261792,자연
고양시,노고산,,경기도 고양시 덕양구 효자동,,,자연
양평군,중원산,031-770-3311,경기도 양평군 용문면,,,자연
여주시,양자산,031-770-2341,경기도 여주시 산북면 하품리 651-3,37.42839515,127.41429850000002,자연
양주시,오봉산,,경기도 양주시 장흥면 일대,,,자연
남양주시,예봉산,,경기도 남양주시 와부읍 조안면,,,자연
파주시,월롱산,031-940-4612,경기도 파주시 월롱면 용상골길 403,37.79822025,126.76628240000001,자연
의왕시,모락산,031-345-3522,경기도 의왕시 오전동,,,자연
파주시,학령산,031-940-4612,경기도 파주시 앞골길 143-45,37.76023425,126.7875014,자연
평택시,부락산,031-664-9211,경기도 평택시 경기도대로1376번길 38-29,,,자연
파주시,보현산,031-940-4612,경기도 파주시 탄현면 헤이리로 381-2,37.80913698,126.71486019999999,자연
안양시,삼성산,031-8045-2419,경기도 안양시 만안구 석수동,,,자연
파주시,고령산,031-940-4612,경기도 파주시 광탄면 보광로 474번길 87,37.75371658,126.92047109999999,자연
파주시,봉서산,031-940-4612,경기도 파주시 파주읍 통일로 1586-24,37.84909005,126.78988670000001,자연
동두천시,칠봉산,031-860-2471,경기도 동두천시 송내동,,,자연
파주시,박달산,031-940-4612,경기도 파주시 광탄면 장지산로 200번길,,,자연
연천군,고대산,031-839-2061,경기도 연천군 신서면 평화로 3282-108,38.23663248,127.15702859999999,자연
파주시,심학산,031-940-4612,경기도 파주시 교하로 493-2,37.70406165,126.7242285,자연
하남시,검단산,031-790-6341,경기도 하남시 신장동,,,자연
파주시,초리골 등산로,031-940-4631,경기도 파주시 법원읍 초리골길 236,37.85532376,126.89414540000001,자연
수원시,칠보산,,경기도 수원시 권선구 금호동 온정로91번길 445-30,,,자연
양주시,불곡산,031-820-2646,경기도 양주시 유양동,,,자연
시흥시,군자봉,031-310-2342,경기도 시흥시 군자동,,,자연
양주시,천보산,,경기도 양주시 광사동,,,자연
군포시,수리산,031-387-7111,경기도 군포시 속달동,,,자연
광주시,앵자봉,031-760-2468,경기도 광주시 퇴촌면 우산리,,,자연
파주시,교하동고인돌산림욕장,031-940-4612,경기도 파주시 당하2길 176,,,자연
수원시,광교산,031-324-8373,경기도 수원시 장안구 상·하광교동,,,자연
파주시,명학산,031-940-4612,경기도 파주시 파주읍 용지안길 137,37.83695476,126.8355635,자연
화성시,매향리,,경기도 화성시 우정읍 매향리,,,자연
가평군,통방산,031-580-2482,경기도 가평군 설악면 천안리 545,37.64094834,127.4745193,자연
화성시,전곡항,031-1577-4200,경기도 화성시 서신면 전곡항로 5,37.18561539,126.6510723,자연
시흥시,월곶포구,031-318-4409,경기도 시흥시 월곶동 820-4,,,자연
김포시,대명포구,031-987-2983,경기도 김포시 대곶면 대명리,,,자연
안성시,안성낙원역사공원,031-678-2744,경기도 안성시 장기로91번길 22,,,자연
부천시,상동호수공원,032-320-3000,경기도 부천시 원미구 조마루로 15,37.50244421,126.74524709999999,자연
시흥시,연꽃테마파크,031-310-6222,경기도 시흥시 관곡지로 139,37.40068901,126.80838689999999,자연
성남시,황새울공원,031-729-4384,경기도 성남시 분당구 서현동 분당구청 뒷 편,,,자연
양평군,봉미산,031-770-3191,경기도 양평군 단월면 산음리,,,자연
양평군,대부산,031-770-3131,경기도 양평군 옥천면 신복리,,,자연
이천시,천덕봉,031-645-3839,경기도 이천시 백사면 원적로617번길,,,자연
이천시,임오산,,경기도 이천시 율면 임오산로 296,37.08882356,127.5667699,자연
남양주시,용암산,031-828-4572,경기도 남양주시 별내면 용암리,,,자연
남양주시,천마산,031-590-2733,경기도 남양주시 화도읍,,,자연
이천시,효양산,,경기도 이천시 부발읍 마암리 산25,37.27382701,127.48139779999998,자연
양평군,도일봉,031-770-3311,경기도 양평군 용문면 중원리,,,자연
이천시,원적산,,경기도 이천시 백사면 경사리 427-1,37.33731662,127.4527884,자연
안성시,마이산,031-678-2563,경기도 안성시 일죽면,,,자연
안성시,칠현산,031-677-1330,"경기도 안성시 죽산면, 금광면",,,자연
안성시,비봉산,031-678-2563,경기도 안성시 보개면,,,자연
양평군,함왕봉,031-773-5101,경기도 양평군 옥천면 용천리 산 27,37.54824082,127.5247213,자연
양평군,고래산,031-770-3281,경기도 양평군 지평면 대평리,,,자연
양평군,어비산,031-770-3131,경기도 양평군 옥천면,,,자연
이천시,해룡산,,경기도 이천시 고담동 산44-2,37.23394327,127.46896399999999,자연
이천시,설봉산,031-645-3839,경기도 이천시 관고동 산67-3,37.27647049,127.4184314,자연
이천시,도드람산(저명산),031-644-2636,경기도 이천시 마장면 목리,,,자연
이천시,노성산,,경기도 이천시 설성면 수산리 산 65-1,37.12651251,127.50012770000001,자연
가평군,축령산,031-592-0681,경기도 가평군 상면,,,자연
남양주시,문안산,031-592-4900,경기도 남양주시 화도읍 금남리,,,자연
남양주시,서리산,,경기도 남양주시 수동면,,,자연
화성시,쌍봉산,,경기도 화성시 우정읍 조암리,,,자연
광주시,태화산,031-760-4873,경기도 광주시 도척면 추곡리 169-2,37.27885372,127.2929473,자연
과천시,관악산,02-3677-2343,경기도 과천시 중앙동,,,자연
오산시,독산성산림욕장,031-8036-8036,경기도 오산시 지곶동,,,자연
안양시,삼성산산림욕장,031-8045-3511,경기도 안양시 만안구 예술공원로131번길 49,37.41954448,126.9223668,자연
화성시,초록산산림욕장,031-369-2344,경기도 화성시 양감면 사창리 810-1,37.09226023,126.9547634,자연
가평군,귀목봉,031-580-2114,경기도 가평군 북면 적목리,,,자연
군포시,덕고개당숲,,경기도 군포시 속달동,,,자연
고양시,북한산,02-909-0497,경기도 고양시 덕양구 대서문안길,,,자연
광명시,도덕산,02-2680-2339,경기도 광명시 광명동 산75번지 일대,37.46812521,126.85764820000001,자연
의정부시,사패산,031-828-2343,경기도 의정부시 망월로28번길 164-100,37.70887207,127.0333747,자연
부천시,부천중앙공원,032-625-3496,경기도 부천시 원미구 소향로 162,37.50060486,126.76371759999999,자연
포천시,비둘기낭폭포,031-538-2312,경기도 포천시 영북면 대회산리 415-2,38.07970239,127.21684690000001,자연
가평군,가평용추계곡,031-582-9068,경기도 가평군 가평읍 용추로 508-7,37.85995221,127.4707267,자연
가평군,무주채폭포,031-582-8830,경기도 가평군 북면 적목리 산1-1,37.97657851,127.4178287,자연
가평군,용소폭포,031-582-8830,경기도 가평군 북면 적목리 산4,37.98765251,127.4545621,자연
가평군,가평용추폭포,031-582-0088,경기도 가평군 가평읍 승안리,,,자연
가평군,어비계곡,031-580-2114,경기도 가평군 설악면 가일리,,,자연
가평군,익근리계곡,,경기도 가평군 북면 도대리 708,37.9116651,127.4933568,자연
가평군,수락폭포,,경기도 가평군 가평읍 경반리,,,자연
가평군,운악계곡,,경기도 가평군 하면 운악청계로589번길,,,자연
가평군,가평용추폭포,031-582-0088,경기도 가평군 가평읍 승안리,,,자연
가평군,장재울계곡,,경기도 가평군 하면 상판리,,,자연
동두천시,쇠목계곡,031-860-2250,경기도 동두천시 광암동,,,자연
포천시,지장산계곡,031-538-4652,경기도 포천시 관인면 중리 산251-1,,,자연
양평군,세월계곡,,경기도 양평군 강상면 세월리,,,자연
동두천시,왕방계곡,031-860-2250,경기도 동두천시 탑동,,,자연
과천시,청계산계곡,,경기도 과천시 막계동,,,자연
포천시,한탄강대교천현무암협곡,031-538-3129,경기도 포천시 관인면 냉정리 1101,38.18080022,127.2738429,자연
파주시,설마계곡,031-940-4612,경기도 파주시 적성면 설마천로 144,37.9310737,126.94642560000001,자연
가평군,귀목계곡,,경기도 가평군 북면 제령리,,,자연
가평군,복호동폭포,,경기도 가평군 북면 적목리 640,37.98760244,127.46001979999998,자연
포천시,선유담계곡,031-538-3363,경기도 포천시 이동면 포화로 123,38.07060845,127.3992169,자연
양평군,벽계구곡,031-770-3161,경기도 양평군 서종면 노문리,,,자연
가평군,무우폭포,,경기도 가평군 하면 하판리,,,자연
남양주시,비금계곡,031-592-0088,경기도 남양주시 수동면 내방리,,,자연
양평군,명달리계곡,031-770-3164,경기도 양평군 서종면 명달리,,,자연
연천군,동막계곡,031-834-2061,경기도 연천군 연천읍 동막리 162-1,38.10622105,127.11605420000001,자연
양주시,송추계곡,,경기도 양주시 장흥면 울대리,,,자연
동두천시,탑동계곡,031-860-2250,경기도 동두천시 탑동동,,,자연
포천시,직두리부부송,031-538-2106,경기도 포천시 청군로2985번길 180,37.85522582,127.2443325,자연
이천시,설봉산삼형제바위,031-645-3839,경기도 이천시 관고동 산66-1,37.28069094,127.41480120000001,자연
파주시,임꺽정굴,031-940-4612,경기도 파주시 적성면 설마천로 감악산 임꺽정굴,,,자연
수원시,인계예술공원,031-228-4190,경기도 수원시 팔달구 동수원로 335,37.25911352,127.03635530000001,자연
시흥시,시흥갯골생태공원,031-488-6900,경기도 시흥시 동서로 287,37.38979193,126.7812507,자연
수원시,만석공원,031-228-4509,경기도 수원시 장안구 송죽동 434,,,자연
수원시,효원공원,031-228-4192,경기도 수원시 팔달구 동수원로 399,37.26491253,127.03944380000002,자연
수원시,월화원,031-228-4184,경기도 수원시 팔달구 동수원로 399,37.26491253,127.03944380000002,자연
안산시,탄도 바닷길,032-885-3745,경기도 안산시 단원구 대부황금로 7,37.19251153,126.6461277,자연
양평군,지평레포츠공원,031-770-3281,경기도 양평군 지평면 지평리 582-2,37.47444991,127.63884979999999,자연
양평군,옥천레포츠공원,,경기도 양평군 옥천면 옥천체육공원길 40,37.52187481,127.4582184,자연
양평군,청운레포츠공원,,경기도 양평군 청운면 체육공원길 52,37.55273232,127.7031294,자연
시흥시,옥구공원,031-310-3963,경기도 시흥시 오이도로 58,37.35180705,126.70097309999998,자연
양평군,용문산관광단지,031-773-0088,경기도 양평군 용문면 신점리 526-2,37.54502301,127.5829395,자연
과천시,문원체육공원,02-3677-2362,경기도 과천시 문원로 56,37.42792691,127.0036578,자연
과천시,관문체육공원,02-500-1411,경기도 과천시 중앙로 294,37.44142546,126.9963338,자연
과천시,중앙공원,02-3677-2362,경기도 과천시 별양동 2-6,37.43234075,126.9965868,자연
김포시,김포국제조각공원,031-980-2980,경기도 김포시 월곶면 용강로13번길 38,37.72080335,126.5522088,자연
안산시,시화나래조력공원,032-890-6520,경기도 안산시 단원구 대부황금로 1927,37.31046791,126.6061341,자연
파주시,출판단지 생태공원,031-940-4631,경기도 파주시 회동길 145,37.70849604,126.68676699999999,자연
구리시,인창중앙공원,031-550-2418,경기도 구리시 인창동 309-43번지,37.60580988,127.13636729999999,자연
오산시,오산생태하천,,경기도 오산시 신장동,,,자연
화성시,비봉습지공원,031-369-6231,경기도 화성시 비봉면 유포리 619,37.25809561,126.84788459999999,자연
고양시,고양생태공원,031-924-7341,경기도 고양시 일산서구 대화로 315,37.68395646,126.74414879999999,자연
성남시,책테마파크,031-708-3588,경기도 성남시 분당구 문정로 145,37.38267187,127.1506768,자연
성남시,황송공원,031-729-4788,경기도 성남시 중원구 금광1동 산9,,,자연
고양시,일산호수공원,031-906-4557,경기도 고양시 일산동구 호수로 595,37.6537547,126.7686925,자연
성남시,희망대공원,031-729-4786,경기도 성남시 수정구 수정로306번길 45-1,,,자연
의왕시,의왕자연학습공원,031-345-3533,경기도 의왕시 왕송못동로 307,37.30710897,126.95315420000001,자연
파주시,임진강 폭포어장,031-959-2222,경기도 파주시 파평면 청송로 550,37.93777543,126.8703676,자연
양주시,국립아세안자연휴양림,031-871-2796,경기도 양주시 백석읍 기산로 472,37.77383049,126.94217240000002,자연
양주시,나리농원,031-8082-7225,경기도 양주시 광사로 131-66,37.78580151,127.081828,자연
평택시,진위천시민유원지불빛정원,031-665-6231,경기도 평택시 진위면 진위서로 264-15,37.09814524,127.08648149999999,자연
파주시,퍼스트가든,031-957-6861,경기도 파주시 탑삭골길 260,37.73228267,126.7931713,자연
파주시,마장호수출렁다리,031-943-3928,경기도 파주시 광탄면 기산로 365,37.7746781,126.93280949999999,자연
포천시,한탄강주상절리둘레길,031-538-2312,경기도 포천시 영북면 소회산길 366,38.0952345,127.2338389,자연
구리시,구리 돌다리길 곱창골목,031-550-2233,경기도 구리시 안골로103번길 41,37.59918782,127.14145390000002,자연
남양주시,남양주다산길,031-590-2416,경기도 남양주시 고산로 184-1,37.59393254,127.18556629999999,자연
포천시,산정호수둘레길,031-532-6135,경기도 포천시 영북면 산정호수로411번길 5,38.0656132,127.31568440000001,자연
수원시,수원공방거리,031-228-3643,경기도 수원시 팔달구 행궁로,,,자연
평택시,평택소사벌카페거리,031-8024-3232,경기도 평택시 평남로 일대,,,자연
안산시,바다향기수목원,031-8008-6795,경기도 안산시 단원구 대부황금로 399,37.22501815,126.6465053,자연
경기도,아라걷기길,031-980-2489,경기도 김포시 고촌읍 전호리,,,자연
시흥시,시흥늠내길 바다가아름다운길,031-310-2907,경기도 시흥시 장현동,,,자연
여주시,여강길,031-884-9089,경기도 여주시 단현동 119-1,,,자연
연천군,연천평화누리길,031-839-2061,경기도 연천군 장남면,,,자연
의정부시,의정부소풍길,031-828-4354,경기도 의정부시 민락동 산100-14,37.73715253,127.09967549999999,자연
평택시,평택호관광지 수변데크 사색의 길,031-8024-8687,경기도 평택시 현덕면 평택호길 159,36.92144571,126.92222759999999,자연
화성시,동탄호수공원,,경기도 화성시 동탄순환대로 67,,,자연
화성시,화성실크로드,031-369-6021,경기도 화성시 송산면,,,자연
파주시,파주 벽초지수목원,031-957-2004,경기도 파주시 광탄면 부흥로 242,37.80069886,126.8740547,자연
파주시,파주 벽초지수목원,031-957-2004,경기도 파주시 광탄면 부흥로 242,37.80069886,126.8740547,자연
파주시,파주 벽초지수목원,031-957-2004,경기도 파주시 광탄면 부흥로 242,37.80069886,126.8740547,자연
가평군,가평 아침고요수목원,031-1544-6703,경기도 가평군 상면 수목원로 432,37.74395379999999,127.3525341,자연
가평군,가평 아침고요수목원,031-1544-6703,경기도 가평군 상면 수목원로 432,37.74395379999999,127.3525341,자연
광주시,광주 화담숲,031-8026-6666,경기도 광주시 도척면 도척윗로 278-1,37.34077038,127.2894273,자연
광주시,광주 화담숲,031-8026-6666,경기도 광주시 도척면 도척윗로 278-1,37.34077038,127.2894273,자연
양평군,양평 더그림,070-4257-2210,경기도 양평군 옥천면 사나사길 175,37.52914715,127.49706869999999,자연
양평군,양평 더그림,070-4257-2210,경기도 양평군 옥천면 사나사길 175,37.52914715,127.49706869999999,자연
양평군,양평 더그림,070-4257-2210,경기도 양평군 옥천면 사나사길 175,37.52914715,127.49706869999999,자연
양평군,양평 더그림,070-4257-2210,경기도 양평군 옥천면 사나사길 175,37.52914715,127.49706869999999,자연
안양시,안양예술공원,031-8045-2473,경기도 안양시 만안구 석수동 240-18,37.41906306,126.9197713,자연
안양시,안양예술공원,031-8045-2473,경기도 안양시 만안구 석수동 240-18,37.41906306,126.9197713,자연
안양시,안양예술공원,031-8045-2473,경기도 안양시 만안구 석수동 240-18,37.41906306,126.9197713,자연
포천시,포천 허브아일랜드,,경기도 포천시 신북면 청신로947번길 35,37.96592242,127.1317088,자연
포천시,포천 허브아일랜드,,경기도 포천시 신북면 청신로947번길 35,37.96592242,127.1317088,자연
용인시,기흥호수공원 (용인8경 중 제3경),,경기도 용인시 기흥구 동탄기흥로 923,37.24081425,127.1004054,자연
용인시,용인자연휴양림 (용인8경 중 제5경),,경기도 용인시 처인구 모현읍 초부로 220,37.31577253,127.2688892,자연
용인시,가실벚꽃 (용인8경 중 제7경),,경기도 용인시 처인구 포곡읍 가실리,,,자연
광명시,광명동굴,070-4277-8902,경기도 광명시 가학로 85번길 142,37.424668100000005,126.8634442,자연
군포시,반월호수,031-392-3000,경기도 군포시 청백리길 6,37.36236952,126.93522730000001,자연
가평군,청평호,031-582-0088,경기도 가평군 설악면 회곡리 454-3,37.70713679,127.45439070000002,자연
안성시,용설호수,031-673-9771,경기도 안성시 죽산면 용설호수길 234,37.05048143,127.44237340000002,자연
안성시,고삼호수,031-673-9771,경기도 안성시 고삼면 월향리 102,,,자연
안성시,금광호수,031-673-9771,경기도 안성시 금광면 금광리,,,자연
시흥시,뒷방울저수지,031-498-0737,경기도 시흥시 정왕동 35,37.371804499999996,126.74474709999998,자연
시흥시,칠리제저수지,031-314-8366,경기도 시흥시 금이동 산120-1,37.40318746,126.8485463,자연
시흥시,마전달월저수지,031-310-2334,경기도 시흥시 월곶동 산63-7,37.37230323,126.77058659999999,자연
용인시,용담저수지(사암지),031-322-7860,경기도 용인시 처인구 원삼면 원양로 382-2,37.19178878,127.3064047,자연
포천시,청계호수,031-832-2181,경기도 포천시 일동면 운악청계로1480번길 45,37.94035268,127.3407506,자연
여주시,이포보,,경기도 여주시 금사면 이포리 5,37.40134582,127.5363953,자연
여주시,강천보,031-887-3573,경기도 여주시 신단1길 83,37.28005806,127.6797761,자연
이천시,설봉호,,경기도 이천시 관고동 418-2,37.27533049,127.42737749999999,자연
파주시,발랑저수지,031-950-3260,경기도 파주시 광탄면 부흥로 596,37.80606609,126.9080435,자연
파주시,마장호수,031-940-5761,경기도 파주시 광탄면 기산로 365,37.7746781,126.93280949999999,자연
파주시,파평용연,031-940-4354,경기도 파주시 파평면 청송로 300,,,자연
포천시,한탄강,031-538-4652,경기도 포천시 영북면 자일리 산 115-2,38.11739313,127.2669831,자연
의왕시,왕송호수,031-345-3534,경기도 의왕시 초평동,,,자연
의왕시,백운호수,010-4341-3737,경기도 의왕시 학의동 340-1번지,37.38263703,127.0008383,자연
연천군,백학저수지,031-835-5470,경기도 연천군 백학면 저수지길 21,38.03223021,126.9250521,자연
파주시,공릉저수지,,경기도 파주시 조리읍 장곡리 353,37.7559845,126.8355382,자연
수원시,서호(축만제),,경기도 수원시 팔달구 화서동 436-1,37.27807292,126.98873119999999,자연
양평군,중미산,031-770-2341,경기도 양평군 옥천면 중미산로 1152,37.58323039,127.45851259999999,자연
시흥시,소래산산림욕장,031-317-2000,경기도 시흥시 대야동 332-80,37.44962927,126.7828588,자연
안산시,풍도,031-481-2000,경기도 안산시 단원구 풍도길 8,37.11285876,126.3926108,자연
화성시,국화도,031-1577-4200,경기도 화성시 우정읍 입파길 54,37.10461314,126.53851399999999,자연
시흥시,오이도,031-498-5671,경기도 시흥시 정왕동 1985-2042,,,자연
포천시,평강랜드,031-532-1779,경기도 포천시 영북면 우물목길 171-18,38.04997874,127.3061838,자연
용인시,한택식물원,031-333-3558,경기도 용인시 처인구 백암면 한택로 2,37.09457472,127.4066007,자연
연천군,허브빌리지,031-833-5100,경기도 연천군 왕징면 북삼리 222,38.08791515,127.00523000000001,자연
김포시,현대유람선(아라뱃길),032-882-5555,경기도 김포시 고촌읍 아라육로270번길 74,37.59749842,126.7871304,자연
용인시,광교산사계 ( 용인8경 중 제2경 ),,경기도 용인시 수지구 신봉동,,,자연
남양주시,물의정원,031-590-2783,경기도 남양주시 조안면 북한강로 398,37.55750946,127.31321820000001,자연
양주시,장흥관광지,031-828-9727,경기도 양주시 장흥면 권율로 193,37.73281782,126.9492554,자연
가평군,화악산,,경기도 가평군 북면 화악리,,,자연
가평군,수덕산,031-580-2481,경기도 가평군 북면 가화로 1434,37.89884683,127.5106918,자연
김포시,전류리포구,031-981-4115,경기도 김포시 하성면 금포로 1928,37.69773726,126.6627122,자연
양주시,가나아트파크,031-877-0500,경기도 양주시 장흥면 권율로 117,37.72563761,126.94996680000001,자연
광명시,안터생태공원,02-2619-1050,경기도 광명시 안재로 1번길 27,37.45933257,126.86982169999999,자연
성남시,분당중앙공원,031-729-4907,경기도 성남시 분당구 성남대로 550,37.38030055,127.1211729,자연
안성시,고성산,031-677-1330,경기도 안성시 원곡면 칠곡리,,,자연
이천시,양각산,,경기도 이천시 신둔면 고척리 505-12,37.28757413,127.37124229999999,자연
안성시,서운산,031-678-2563,경기도 안성시 서운면 청룡리,,,자연
남양주시,수락산,031-828-2342,경기도 남양주시 별내면 청학리 551-2,37.70024654,127.1029045,자연
양평군,추읍산,031-770-3341,경기도 양평군 용문면 삼성리,,,자연
양평군,삼각산,031-773-0088,경기도 양평군 양동면,,,자연
양평군,소리산,031-770-3191,경기도 양평군 단월면 석산리1,37.6392176,127.63304509999999,자연
이천시,정개산,,경기도 이천시 신둔면 지석리 산35-5,37.33082441,127.41454440000001,자연
이천시,마국산,,경기도 이천시 모가면 산내리 산65,37.1518742,127.45816,자연
포천시,수원산,031-538-3341,경기도 포천시 군내면 청군로2985번길 18,37.86594734,127.2383835,자연
포천시,주금산,031-538-2340,경기도 포천시 내촌면 능곡청정길 50,37.78367267,127.24125169999999,자연
